StationUID,StationID,StationName.Zh_tw,StationName.En,StationPosition.PositionLat,StationPosition.PositionLon,StationAddress,BikeAllowOnHoliday
TRTC-O06,O06,東門,Dongmen,25.033894,121.528766,10650臺北市大安區信義路2段166號B1,TRUE
TRTC-O07,O07,忠孝新生,Zhongxiao Xinsheng,25.042498,121.53321,10652臺北市大安區新生南路1段67號,TRUE
TRTC-O08,O08,松江南京,Songliang Nanjing,25.052693,121.53285,10457臺北市中山區松江路126號B1,TRUE
TRTC-O09,O09,行天宮,Xingtian Temple,25.05924,121.53315,10468臺北市中山區松江路316號B1,TRUE
TRTC-O10,O10,中山國小,Zhongshan Elementary School,25.062665,121.526609,10452臺北市中山區民權東路1段71號B1,TRUE
TRTC-O11,O11,民權西路,Minzuan W. Rd.,25.06235,121.519585,10365臺北市大同區民權西路72號,TRUE
TRTC-O12,O12,大橋頭,Daqiaotou,25.06322,121.513003,10357臺北市大同區民權西路223號B1,TRUE
TRTC-O13,O13,台北橋,Taipei Bridge,25.063075,121.500575,24142新北市三重區重新路1段108號B1,TRUE
TRTC-O14,O14,菜寮,Cailiao,25.059451,121.491421,24143新北市三重區重新路3段150號B1 ,TRUE
TRTC-O15,O15,三重,Sanchong,25.05571,121.48422,24161新北市三重區捷運路36號B1,TRUE
TRTC-O16,O16,先嗇宮,Xianse Temple,25.04632,121.47165,24158新北市三重區重新路5段515號B1,TRUE
TRTC-O17,O17,頭前庄,Touqianzhuang,25.039735,121.461655,24251新北市新莊區思源路18號B1,TRUE
TRTC-O18,O18,新莊,Xinzhuang,25.03608,121.45218,24243新北市新莊區中正路138號B1,TRUE
TRTC-O19,O19,輔大,Fu Jen University,25.03279,121.435735,24205新北市新莊區中正路510之1號B1,TRUE
TRTC-O20,O20,丹鳳,Danfeng,25.029073,121.422422,24256新北市新莊區中正路624之1號B1,TRUE
TRTC-O21,O21,迴龍,Huilong,25.022107,121.411757,24257新北市新莊區中正路758號B1,TRUE
TRTC-O50,O50,三重國小,Sanchong Elementary School,25.070275,121.49701,24149新北市三重區三和路3段5號B1,TRUE
TRTC-O51,O51,三和國中,Sanhe Junior High School,25.07646,121.486795,24152新北市三重區三和路4段107號B1,TRUE
TRTC-O52,O52,徐匯中學,St.lgnatius High School,25.080485,121.479945,24753新北市蘆洲區中山一路3號B1,TRUE
TRTC-O53,O53,三民高中,Sanmin Senior High School,25.085425,121.473365,24760新北市蘆洲區三民路105號B1,TRUE
TRTC-O54,O54,蘆洲,Luzhou,25.09152,121.46471,24760新北市蘆洲區三民路386號B1,TRUE
TRTC-BL01,BL01,頂埔,Dingpu,24.96012,121.4205,23671新北市土城區中央路4段51-6號B3,TRUE
TRTC-BL02,BL02,永寧,Yongning,24.96682,121.43613,23671新北市土城區中央路3段105號B1,TRUE
TRTC-BL03,BL03,土城,Tucheng,24.97313,121.44432,23671新北市土城區金城路1段105號B1,TRUE
TRTC-BL04,BL04,海山,Haishan,24.985305,121.44873,23660新北市土城區海山路39號B2,TRUE
TRTC-BL05,BL05,亞東醫院,Far Eastern Hospital,24.99828,121.452465,22060新北市板橋區南雅南路2段17號B1,TRUE
TRTC-BL06,BL06,府中,Fuzhong,25.008465,121.459276,22055新北市板橋區縣民大道1段193號B1,TRUE
TRTC-BL07,BL07,板橋,Banqiao,25.013825,121.462305,22041新北市板橋區站前路5號B1,TRUE
TRTC-BL08,BL08,新埔,Xinpu,25.02327,121.468055,22047新北市板橋區民生路3段2號B1,TRUE
