StationID,StationName.Zh_tw,StationName.En,ExitID,ExitName.Zh_tw,ExitName.En,ExitPosition.PositionLat,ExitPosition.PositionLon,LocationDescription,Stair,Escalator,Elevator
BR18,文德,Wende,2,文德站出口2,Wende Exit 2,25.078408,121.58447,文德路(內湖高中旁),TRUE,1,TRUE
BR19,內湖,Neihu,1,內湖站出口1,Neihu Exit 1,25.083745,121.594266,臨成功路4段182巷,TRUE,1,TRUE
BR19,內湖,Neihu,2,內湖站出口2,Neihu Exit 2,25.083636,121.594612,臨成功路4段167巷,TRUE,3,TRUE
BR20,大湖公園,Dahu Park,1,大湖公園站出口1,Dahu Park Exit 1,25.083894,121.602377,成功路5段(大湖山莊街),TRUE,3,TRUE
BR20,大湖公園,Dahu Park,2,大湖公園站出口2,Dahu Park Exit 2,25.083675,121.60221,成功路5段(大湖公園),TRUE,1,TRUE
BR21,葫洲,Huzhou,1,葫洲站出口1,Huzhou Exit 1,25.072638,121.608047,康寧路3段39號旁,TRUE,3,TRUE
BR21,葫洲,Huzhou,2,葫洲站出口2,Huzhou Exit 2,25.072534,121.607197,康寧路3段16巷側,TRUE,1,TRUE
BR22,東湖,Donghu,1,東湖站出口1,Donghu Exit 1,25.067218,121.611129,康寧路3段(臨康寧公園),TRUE,0,TRUE
BR22,東湖,Donghu,2,東湖站出口2,Donghu Exit 2,25.067111,121.611239,康寧路3段(臨南湖高中),TRUE,3,TRUE
BR22,東湖,Donghu,3,東湖站出口3,Donghu Exit 3,25.067053,121.611724,康寧路3段(臨安康公園),TRUE,1,TRUE
BR23,南港軟體園區,Nangang Software Park,1,南港軟體園區站出口1,Nangang Software Park Exit 1,25.059995,121.615817,臨經貿二路185巷,TRUE,3,TRUE
BR23,南港軟體園區,Nangang Software Park,2,南港軟體園區站出口2,Nangang Software Park Exit 2,25.059883,121.616091,臨經貿二路185巷,TRUE,3,TRUE
BR24,南港展覽館,Taipei Nangang Exhibition Center,1,南港展覽館站出口1,Taipei Nangang Exhibition Center Exit 1,25.055847,121.616936,經貿二路、南港展覽館旁,TRUE,1,TRUE
BR24,南港展覽館,Taipei Nangang Exhibition Center,2,南港展覽館站出口2,Taipei Nangang Exhibition Center Exit 2,25.055308,121.616984,南港路1段32號與經貿二路交叉口,FALSE,0,TRUE
BR24,南港展覽館,Taipei Nangang Exhibition Center,3,南港展覽館站出口3,Taipei Nangang Exhibition Center Exit 3,25.055123,121.618239,南港路1段與經貿一路交叉口,FALSE,0,TRUE
BR24,南港展覽館,Taipei Nangang Exhibition Center,4,南港展覽館站出口4,Taipei Nangang Exhibition Center Exit 4,25.055386,121.618266,經貿一路、南港展覽館旁,FALSE,0,TRUE
BR24,南港展覽館,Taipei Nangang Exhibition Center,2A,南港展覽館站出口2A,Taipei Nangang Exhibition Center Exit 2A,25.05524,121.617043,南港路1段與經貿二路交叉口,TRUE,0,TRUE
BR24,南港展覽館,Taipei Nangang Exhibition Center,5,南港展覽館站出口5,Taipei Nangang Exhibition Center Exit 5,25.054917,121.616861,南港路1段與研究院路1段交叉口,TRUE,1,TRUE
BR24,南港展覽館,Taipei Nangang Exhibition Center,6,南港展覽館站出口6,Taipei Nangang Exhibition Center Exit 6,25.054739,121.618183,南港路1段與經貿一路交叉口,TRUE,2,FALSE
BR24,南港展覽館,Taipei Nangang Exhibition Center,7,南港展覽館站出口7,Taipei Nangang Exhibition Center Exit 7,25.054035,121.618148,富康街1巷16弄、近誠正國中,TRUE,2,FALSE
R02,象山,Xiangshan,1,象山站出口1,Xiangshan Exit 1,25.033025,121.569394,信義路5段與松勇路口,TRUE,2,TRUE
R02,象山,Xiangshan,2,象山站出口2,Xiangshan Exit 2,25.032366,121.569809,信義路5段150巷口、近中強公園、信義快速道路,TRUE,1,TRUE
R02,象山,Xiangshan,3,象山站出口3,Xiangshan Exit 3,25.03302,121.570408,信義路5段、近91巷、信義快速道路,TRUE,2,FALSE
R03,台北101/世貿,Taipei 101/World Trade Center,1,台北101/世貿站出口1,Taipei 101/World Trade Center Exit 1,25.033107,121.561671,信義路5段與莊敬路口、世貿一館旁,TRUE,2,FALSE
R03,台北101/世貿,Taipei 101/World Trade Center,2,台北101/世貿站出口2,Taipei 101/World Trade Center Exit 2,25.032733,121.561564,信義路5段與莊敬路口、世貿一館對面,TRUE,2,FALSE
R03,台北101/世貿,Taipei 101/World Trade Center,3,台北101/世貿站出口3,Taipei 101/World Trade Center Exit 3,25.032742,121.563646,信義路5段20號,TRUE,2,TRUE
R03,台北101/世貿,Taipei 101/World Trade Center,4,台北101/世貿站出口4,Taipei 101/World Trade Center Exit 4,25.033034,121.564112,信義路5段7號B1、台北101B1廣場,TRUE,1,TRUE
R03,台北101/世貿,Taipei 101/World Trade Center,5,台北101/世貿站出口5,Taipei 101/World Trade Center Exit 5,25.033102,121.563292,信義路5段與市府路口、世貿一館旁,TRUE,2,TRUE
R04,信義安和,Xinyi Anhe,1,信義安和站出口1,Xinyi Anhe Exit 1,25.033377,121.552602,信義路4段與安和路1段路口,TRUE,2,FALSE
R04,信義安和,Xinyi Anhe,2,信義安和站出口2,Xinyi Anhe Exit 2,25.033032,121.552332,信義路4段與安和路2段路口、安和路派出所前,TRUE,2,FALSE
R04,信義安和,Xinyi Anhe,3,信義安和站出口3,Xinyi Anhe Exit 3,25.033022,121.553282,信義路4段236號與通安街口,FALSE,2,FALSE
