Column1.RouteName,Column1.CityCode,Column1.City,Column1.Town,Column1.RoadSectionStart,Column1.RoadSectionEnd,Column1.Geometry,Column1.Direction,Column1.CyclingLength,Column1.FinishedTime,Column1.UpdateTime
仁愛路二段(雙號側竹林路至四維路),NWT,新北市,林口區,仁愛路2段6巷口,四維路,"MULTILINESTRING ((121.381670999968 25.0741819965287,121.382164995225 25.0743660015136,121.382257997789 25.0744080048204,121.382401000839 25.0744629971893,121.38249599971 25.0745029999783,121.382545003446 25.0745269969489,121.38283300038 25.074649001365,121.383142996187 25.0747779994286,121.383430000155 25.0749150010102,121.383544003286 25.0749679997215,121.383756001856 25.0750679984236,121.384063999665 25.075220003456,121.384150004875 25.0752810008581,121.384526003805 25.0755150032277,121.384645001307 25.075583001971,121.384766000248 25.075656999155,121.384819995153 25.075695003156,121.385049004737 25.07582299734,121.385304995455 25.0759820050792,121.385431004819 25.0760540025088,121.385628995271 25.0761810019717,121.3857970033 25.0762869983473,121.385864997371 25.0763350048845,121.385892996602 25.0763619985122))",單向,550,1041127,2020-08-05T00:02:43+08:00
金城路2、3段,NWT,新北市,土城區,裕民路,立德路,"MULTILINESTRING ((121.464618441561 24.9860871978067,121.458889244277 24.9844048079025,121.45835279964 24.9842881101001,121.453492642044 24.9808454518893,121.451153756968 24.9789004133057,121.449372772152 24.9774805140005,121.447355744087 24.975982792667))",單向,2300,1020615,2020-08-05T00:02:43+08:00
新市二路四段,NWT,新北市,,淡金路二段,義山路,"MULTILINESTRING ((121.446429000996 25.1925459971106,121.446291998142 25.1924760013314,121.444614003634 25.192418002672,121.438615995591 25.1931739993777),(121.446544002732 25.1921850005706,121.446380997821 25.1922629976596,121.444690996499 25.1921930017806,121.4427159955 25.1924450009506,121.438597996996 25.1929580042033))",雙向,830,1080122,2020-08-05T00:02:43+08:00
新市二路一段北側,NWT,新北市,淡水區,新市二路一段與淡金路口,新市二路三段與濱海路四段口,"MULTILINESTRING ((121.423838139058 25.1970925123943,121.42165482466 25.197888565705))",雙向,2500,970301,2020-08-05T00:02:43+08:00
挖子尾至十三行博物館,NWT,新北市,,,,"MULTILINESTRING ((121.416649819792 25.1690963586424,121.416413784097 25.1692420038209,121.416124103467 25.1692517200318,121.415855880078 25.1692905630015,121.415652037258 25.1692614242701,121.415437461247 25.1692031638883,121.415297989669 25.1691060615951,121.415104864381 25.1690866423043,121.415019038593 25.1690089620626,121.414911750319 25.1690089648847,121.414847371786 25.168960412032,121.414740083552 25.1689604147291,121.414654258082 25.1688827342705,121.414568422769 25.1688050447597,121.414514778265 25.1687564978101,121.414396767102 25.1687273697587,121.414321658955 25.1686593913115,121.414278741499 25.1686205554906,121.414214376397 25.1685817164739,121.414203641156 25.1685137383913))",,,,2020-08-05T00:02:43+08:00
